tStart,time,subject
2380.126,1.454,s3
2382.9,1.63,s3
2385.55,1.701,s2
2388.05,2.87,s0
2392.1,2.241,s0
2394.87,2.635,s0
2397.95,0.873,s3
2399.315,1.531,s1
2403.26,2.105,s3
2406.495,1.995,s0
2408.565,1.775,s3
2411.65,2.736,s2
2414.435,1.8,s3
2416.266,10.279,s1
2427.21,1.161,s3
2429.301,1.839,s3
2431.191,3.52,s0
2434.761,1.3,s3
2436.485,3.15,s3
2440.095,0.64,s1
2441.42,1.281,s0
2442.731,4.609,s3
2447.44,2.38,s3
2449.94,1.49,s1
2452.045,17.705,s2
2471.581,1.939,s0
2473.63,0.78,s2
2475.94,0.9,s0
2478.98,1.52,s0
2480.581,0.89,s2
2484.02,6.11,s0
2490.26,0.95,s1
2492.245,1.341,s0
2498.275,19.475,s0
2517.835,3.145,s2
2521.725,8.796,s0
2530.56,0.8,s1
2531.4,0.5,s3
2531.94,0.59,s0
2532.6,2.15,s1
2536.47,6.11,s3
2544.555,1.425,s2
2547.24,3.04,s0
2550.861,1.525,s1
2556.26,1.61,s0
2558.055,1.15,s1
2560.65,2.81,s3
2563.51,2.59,s0
2566.44,1.09,s1
2567.61,3.09,s0
2570.91,1.571,s3
2572.531,1.549,s1
2574.115,1.925,s3
2576.345,0.43,s0
2579.5,3.035,s0
2582.855,0.3,s3
2583.715,12.76,s0
2597.561,9.009,s0
2608.491,4.299,s3
2614,3.9,s3
2618.396,0.9,s0
2619.866,1.21,s3
2623.01,1.04,s3
2625.106,1.955,s3
2628.406,0.884,s3
2630.241,3.219,s0
2633.88,1.225,s0
2635.755,1.221,s1
2638.42,0.561,s1
2639.566,1.719,s1
2642.865,7.411,s2
2650.811,0.81,s0
2651.64,1.05,s2
2652.725,5.485,s1
2658.515,3.495,s3
2662.045,4.731,s0
2670.095,0.765,s2
2671.055,1.26,s1
2672.555,1.35,s0
2677.52,1.66,s0
2679.31,1.035,s1
2680.72,0.95,s1
2681.71,0.35,s1
2682.3,1,s1
2690.551,1.099,s1
